parameter,initvalue,optvalue,case,rec,param
kint(R1),-1.661902246,-2.124498874,case11,R1,kint
kdeg(R1),-3.320199751,-3.645699438,case11,R1,kdeg
krec4(R1),-2.402974319,-3.543239333,case11,R1,krec4
k4to11(R1),-2.390704471,-3.490394295,case11,R1,k4to11
krec11(R1),-1.982841402,-1.000039088,case11,R1,krec11
kint(R2),-2.429550467,-3.640714846,case11,R2,kint
kdeg(R2),-4.190500889,-3.630728467,case11,R2,kdeg
krec4(R2),-3.518614708,-5.778951088,case11,R2,krec4
k4to11(R2),-2.622420579,-5.883890586,case11,R2,k4to11
krec11(R2),-2.140165468,-1.124707175,case11,R2,krec11
kint(N1),-2.480933673,-3.539102157,case11,N1,kint
kdeg(N1),-6,-5.775208044,case11,N1,kdeg
krec4(N1),-1.033046778,-1.038498225,case11,N1,krec4
k4to11(N1),-1.899526064,-1.408256643,case11,N1,k4to11
krec11(N1),-2.373115822,-3.536734281,case11,N1,krec11
kint(R1),-1.126888747,-2.012445451,case12,R1,kint
kdeg(R1),-3.18116731,-3.642961333,case12,R1,kdeg
krec4(R1),-2.124441031,-3.587858781,case12,R1,krec4
k4to11(R1),-3.125106696,-3.224629882,case12,R1,k4to11
krec11(R1),-2.098956009,-1,case12,R1,krec11
kint(R2),-2.006585815,-3.639899091,case12,R2,kint
kdeg(R2),-3.61255678,-3.630023865,case12,R2,kdeg
krec4(R2),-2.21795041,-5.769474445,case12,R2,krec4
k4to11(R2),-4.001758103,-5.741793874,case12,R2,k4to11
krec11(R2),-1.615879658,-1.126394613,case12,R2,krec11
kint(N1),-3.023572066,-3.666230399,case12,N1,kint
kdeg(N1),-4.502365541,-5.889107399,case12,N1,kdeg
krec4(N1),-2.381596241,-1.717241979,case12,N1,krec4
k4to11(N1),-1.821051815,-1.109511914,case12,N1,k4to11
krec11(N1),-1,-3.100091991,case12,N1,krec11
kint(R1),-1.002146367,-2.154877144,case13,R1,kint
kdeg(R1),-3.880612126,-3.645910778,case13,R1,kdeg
krec4(R1),-1.664722675,-3.576786904,case13,R1,krec4
k4to11(R1),-3.314141868,-3.520539864,case13,R1,k4to11
krec11(R1),-1,-1,case13,R1,krec11
kint(R2),-2.681707051,-3.642846824,case13,R2,kint
kdeg(R2),-3.419656753,-3.631044055,case13,R2,kdeg
krec4(R2),-3.457037711,-6,case13,R2,krec4
k4to11(R2),-2.665787591,-5.938811495,case13,R2,k4to11
krec11(R2),-1,-1.186826145,case13,R2,krec11
kint(N1),-2.403820908,-3.787279846,case13,N1,kint
kdeg(N1),-4.65130581,-5.180258703,case13,N1,kdeg
krec4(N1),-1.66416113,-1.163448034,case13,N1,krec4
k4to11(N1),-1.883923828,-1.86588667,case13,N1,k4to11
krec11(N1),-1.932148339,-4.006762223,case13,N1,krec11
kint(R1),-1.088863707,-1.949736277,case14,R1,kint
kdeg(R1),-3.193291052,-3.640316263,case14,R1,kdeg
krec4(R1),-2.378117785,-3.618361553,case14,R1,krec4
k4to11(R1),-2.06631535,-3.110547021,case14,R1,k4to11
krec11(R1),-2.234502813,-1.005572858,case14,R1,krec11
kint(R2),-1.903228983,-3.642732345,case14,R2,kint
kdeg(R2),-3.035485809,-3.631471391,case14,R2,kdeg
krec4(R2),-3.063964043,-6,case14,R2,krec4
k4to11(R2),-3.604481406,-5.999652703,case14,R2,k4to11
krec11(R2),-1.659853449,-1.104903574,case14,R2,krec11
kint(N1),-2.909741947,-3.515429701,case14,N1,kint
kdeg(N1),-4.66488325,-4.802278478,case14,N1,kdeg
krec4(N1),-1.819902811,-1.771959135,case14,N1,krec4
k4to11(N1),-1.146697334,-1.001339691,case14,N1,k4to11
krec11(N1),-1,-2.960546221,case14,N1,krec11
kint(R1),-1,-2.000577996,case15,R1,kint
kdeg(R1),-3.464022689,-3.641912796,case15,R1,kdeg
krec4(R1),-2.26622513,-3.41240127,case15,R1,krec4
k4to11(R1),-3.449918476,-3.306484096,case15,R1,k4to11
krec11(R1),-2.135079736,-1.003921963,case15,R1,krec11
kint(R2),-2.193453745,-3.642846824,case15,R2,kint
kdeg(R2),-3.679479841,-3.631322705,case15,R2,kdeg
krec4(R2),-3.40885745,-6,case15,R2,krec4
k4to11(R2),-3.376492278,-6,case15,R2,k4to11
krec11(R2),-1.580159859,-1.026899868,case15,R2,krec11
kint(N1),-3.221154434,-3.275437427,case15,N1,kint
