parameter,initvalue,optvalue,case,rec,param
kint(N1),-1.977118187,-3.313176113,case60,N1,kint
kdeg(N1),-5.21885522,-5.999739501,case60,N1,kdeg
krec4(N1),-1,-1,case60,N1,krec4
k4to11(N1),-1.480565805,-1.67321369,case60,N1,k4to11
krec11(N1),-1.120944282,-3.582561524,case60,N1,krec11
kint(R1),-1.667177914,-2.034501969,case61,R1,kint
kdeg(R1),-4.414697224,-3.64299951,case61,R1,kdeg
krec4(R1),-2.467322043,-3.548121498,case61,R1,krec4
k4to11(R1),-2.384544463,-3.2748973,case61,R1,k4to11
krec11(R1),-1,-1,case61,R1,krec11
kint(R2),-2.178624053,-3.579912167,case61,R2,kint
kdeg(R2),-4.124817151,-3.617082865,case61,R2,kdeg
krec4(R2),-2.082872759,-4.735938129,case61,R2,krec4
k4to11(R2),-3.020897985,-4.96090329,case61,R2,k4to11
krec11(R2),-2.72010502,-1.000477987,case61,R2,krec11
kint(N1),-3.550675907,-3.523414706,case61,N1,kint
kdeg(N1),-5.660568435,-5.787306458,case61,N1,kdeg
krec4(N1),-1.33216429,-1.524285239,case61,N1,krec4
k4to11(N1),-1,-1,case61,N1,k4to11
krec11(N1),-1,-3.031773968,case61,N1,krec11
kint(R1),-1.148778354,-1.592490127,case62,R1,kint
kdeg(R1),-3.14568181,-3.634231312,case62,R1,kdeg
krec4(R1),-1.808632834,-2.920746378,case62,R1,krec4
k4to11(R1),-2.587673878,-2.840523044,case62,R1,k4to11
krec11(R1),-1,-1,case62,R1,krec11
kint(R2),-2.934084332,-3.638536598,case62,R2,kint
kdeg(R2),-4.230511899,-3.634643072,case62,R2,kdeg
krec4(R2),-2.631806122,-5.922486749,case62,R2,krec4
k4to11(R2),-3.332070985,-5.961062081,case62,R2,k4to11
krec11(R2),-1.769602175,-1.194512735,case62,R2,krec11
kint(N1),-3.09838913,-2.85983777,case62,N1,kint
kdeg(N1),-5.688903374,-5.982173962,case62,N1,kdeg
krec4(N1),-1.286349881,-1.016671462,case62,N1,krec4
k4to11(N1),-1,-1,case62,N1,k4to11
krec11(N1),-1.090759644,-2.622183971,case62,N1,krec11
kint(R1),-1.826580616,-1.694347739,case63,R1,kint
kdeg(R1),-2.728344228,-3.640866784,case63,R1,kdeg
krec4(R1),-2.364858194,-2.874811616,case63,R1,krec4
k4to11(R1),-2.851860263,-3.190063387,case63,R1,k4to11
krec11(R1),-2.203286937,-1.229560396,case63,R1,krec11
kint(R2),-3.234011243,-3.640904776,case63,R2,kint
kdeg(R2),-3.611064419,-3.628728899,case63,R2,kdeg
krec4(R2),-3.535838458,-5.922813846,case63,R2,krec4
k4to11(R2),-3.541467905,-5.75352604,case63,R2,k4to11
krec11(R2),-2.494660059,-1.210764887,case63,R2,krec11
kint(N1),-3.157303411,-3.351093805,case63,N1,kint
kdeg(N1),-5.872700785,-4.237478981,case63,N1,kdeg
krec4(N1),-1.033891134,-1,case63,N1,krec4
k4to11(N1),-1.780101261,-2.050448993,case63,N1,k4to11
krec11(N1),-1.593579054,-4.557488875,case63,N1,krec11
kint(R1),-1.579829634,-2.022701754,case64,R1,kint
kdeg(R1),-4.590574131,-3.640487039,case64,R1,kdeg
krec4(R1),-2.94792197,-3.648338948,case64,R1,krec4
k4to11(R1),-1.987669044,-3.232443432,case64,R1,k4to11
krec11(R1),-2.177995466,-1.010212134,case64,R1,krec11
kint(R2),-3.232858982,-3.57709842,case64,R2,kint
kdeg(R2),-3.095365588,-3.615073402,case64,R2,kdeg
krec4(R2),-2.555050066,-4.774535641,case64,R2,krec4
k4to11(R2),-3.122283199,-4.958054928,case64,R2,k4to11
krec11(R2),-2.177230604,-1.001666541,case64,R2,krec11
kint(N1),-2.393296259,-3.62670172,case64,N1,kint
kdeg(N1),-4.555128021,-5.891807195,case64,N1,kdeg
krec4(N1),-2.158352764,-1.965371543,case64,N1,krec4
k4to11(N1),-1.022674299,-1.000334536,case64,N1,k4to11
krec11(N1),-1.846612021,-3.038517207,case64,N1,krec11
kint(R1),-1.89537634,-1.447611672,case65,R1,kint
kdeg(R1),-4.333313576,-3.636068527,case65,R1,kdeg
krec4(R1),-3.468661613,-2.492049727,case65,R1,krec4
k4to11(R1),-2.451045814,-3.23512179,case65,R1,k4to11
krec11(R1),-1,-1,case65,R1,krec11
kint(R2),-2.593902856,-3.64320954,case65,R2,kint
kdeg(R2),-4.300943145,-3.631378456,case65,R2,kdeg
krec4(R2),-3.404812524,-6,case65,R2,krec4
k4to11(R2),-3.059578154,-6,case65,R2,k4to11
krec11(R2),-2.252510508,-1.381596241,case65,R2,krec11
kint(N1),-2.277530614,-4.859020837,case65,N1,kint
kdeg(N1),-4.350266085,-6,case65,N1,kdeg
krec4(N1),-2.614215041,-2.449710483,case65,N1,krec4
k4to11(N1),-2.469697826,-3.312613746,case65,N1,k4to11
krec11(N1),-1.463391061,-4.09305651,case65,N1,krec11
kint(R1),-1.901010361,-2.218977442,case66,R1,kint
kdeg(R1),-2.932371283,-3.647547338,case66,R1,kdeg
krec4(R1),-2.272833016,-3.691414246,case66,R1,krec4
k4to11(R1),-2.962693049,-3.617208766,case66,R1,k4to11
krec11(R1),-2.075219497,-1.000004343,case66,R1,krec11
kint(R2),-2.793903055,-3.565878394,case66,R2,kint
kdeg(R2),-4.009909892,-3.621347775,case66,R2,kdeg
krec4(R2),-2.16222854,-5.930627946,case66,R2,krec4
k4to11(R2),-3.517526609,-4.645257877,case66,R2,k4to11
krec11(R2),-1.569973345,-1.000173753,case66,R2,krec11
kint(N1),-2.77502691,-3.576623038,case66,N1,kint
kdeg(N1),-5.558179228,-5.642046105,case66,N1,kdeg
krec4(N1),-1.140555462,-1.034690092,case66,N1,krec4
k4to11(N1),-2.341387688,-1.118119127,case66,N1,k4to11
krec11(N1),-1.766217285,-3.334907044,case66,N1,krec11
kint(R1),-1.327883662,-1.278074028,case67,R1,kint
kdeg(R1),-3.803575086,-3.634287438,case67,R1,kdeg
krec4(R1),-2.36914516,-2.325019514,case67,R1,krec4
k4to11(R1),-2.735843563,-3.022203257,case67,R1,k4to11
krec11(R1),-1,-1,case67,R1,krec11
kint(R2),-2.026724327,-3.638498812,case67,R2,kint
kdeg(R2),-3.501248482,-3.629579441,case67,R2,kdeg
krec4(R2),-2.597549461,-5.665687015,case67,R2,krec4
k4to11(R2),-3.621620271,-5.729717216,case67,R2,k4to11
krec11(R2),-2.493684421,-1.143059752,case67,R2,krec11
kint(N1),-2.832594043,-4.104400678,case67,N1,kint
kdeg(N1),-5.719216822,-6,case67,N1,kdeg
krec4(N1),-2.11558984,-2.072886388,case67,N1,krec4
k4to11(N1),-2.282246307,-2.911934822,case67,N1,k4to11
krec11(N1),-1.818413636,-4.260348556,case67,N1,krec11
kint(R1),-1,-1.898321649,case68,R1,kint
kdeg(R1),-2.763765137,-3.642274732,case68,R1,kdeg
krec4(R1),-2.75085058,-3.259818963,case68,R1,krec4
k4to11(R1),-2.844512138,-3.205268036,case68,R1,k4to11
krec11(R1),-2.263746958,-1.107627093,case68,R1,krec11
kint(R2),-2.546712245,-3.582329059,case68,R2,kint
kdeg(R2),-4.100119335,-3.620495061,case68,R2,kdeg
krec4(R2),-2.91150953,-5.000386694,case68,R2,krec4
k4to11(R2),-3.553587112,-5.073014821,case68,R2,k4to11
krec11(R2),-1.58405892,-1.002661679,case68,R2,krec11
kint(N1),-2.719968256,-3.222580428,case68,N1,kint
kdeg(N1),-5.057565307,-5.911863911,case68,N1,kdeg
krec4(N1),-1.025161443,-1.000017372,case68,N1,krec4
k4to11(N1),-1.046655961,-1.156113469,case68,N1,k4to11
krec11(N1),-1.508736384,-3.052228189,case68,N1,krec11
kint(R1),-2.208526904,-1.858424817,case69,R1,kint
kdeg(R1),-2.658506123,-3.637253711,case69,R1,kdeg
krec4(R1),-2.432397311,-3.510519648,case69,R1,krec4
k4to11(R1),-2.554069031,-2.97980451,case69,R1,k4to11
krec11(R1),-1.667702961,-1.000017372,case69,R1,krec11
kint(R2),-1.743883853,-3.591878803,case69,R2,kint
kdeg(R2),-3.43863621,-3.61209431,case69,R2,kdeg
krec4(R2),-3.549166066,-4.676149996,case69,R2,krec4
k4to11(R2),-3.7488243,-5.285502591,case69,R2,k4to11
krec11(R2),-2.057515725,-1.000026058,case69,R2,krec11
kint(N1),-3.440368635,-3.661105449,case69,N1,kint
kdeg(N1),-5.696739127,-4.118775166,case69,N1,kdeg
krec4(N1),-2.211407444,-1.949001921,case69,N1,krec4
k4to11(N1),-2.710991088,-1.204571884,case69,N1,k4to11
krec11(N1),-1.294084996,-3.041651167,case69,N1,krec11
kint(R1),-1.458246075,-1.41956545,case70,R1,kint
kdeg(R1),-4.049800715,-3.634287438,case70,R1,kdeg
krec4(R1),-3.387120821,-2.503153346,case70,R1,krec4
k4to11(R1),-2.884322935,-3.00833542,case70,R1,k4to11
krec11(R1),-1,-1,case70,R1,krec11
kint(R2),-3.34699986,-3.643228638,case70,R2,kint
kdeg(R2),-3.368779524,-3.631378456,case70,R2,kdeg
krec4(R2),-3.4714818,-6,case70,R2,krec4
k4to11(R2),-3.836570257,-6,case70,R2,k4to11
krec11(R2),-1.913035426,-1.525026567,case70,R2,krec11
kint(N1),-1.70007887,-5.002369012,case70,N1,kint
kdeg(N1),-6,-6,case70,N1,kdeg
krec4(N1),-1.945578476,-2.67945908,case70,N1,krec4
k4to11(N1),-2.431892188,-3.1912153,case70,N1,k4to11
krec11(N1),-1,-3.444252786,case70,N1,krec11
kint(R1),-1.040500692,-1.619173943,case71,R1,kint
kdeg(R1),-2.622620887,-3.634980257,case71,R1,kdeg
krec4(R1),-2.95546024,-2.944239535,case71,R1,krec4
k4to11(R1),-1.851089007,-2.878965698,case71,R1,k4to11
krec11(R1),-1.122703539,-1.002749081,case71,R1,krec11
kint(R2),-3.290026577,-3.605250719,case71,R2,kint
kdeg(R2),-2.637762639,-3.625343287,case71,R2,kdeg
krec4(R2),-2.498434128,-5.9996961,case71,R2,krec4
k4to11(R2),-3.170895727,-4.882662405,case71,R2,k4to11
krec11(R2),-1.835498439,-1.006149514,case71,R2,krec11
kint(N1),-2.545643043,-3.029244131,case71,N1,kint
kdeg(N1),-4.935092973,-5.083667144,case71,N1,kdeg
krec4(N1),-1.423301684,-1.144426334,case71,N1,krec4
k4to11(N1),-2.366329594,-1.150654306,case71,N1,k4to11
krec11(N1),-1.664782884,-2.779656515,case71,N1,krec11
kint(R1),-1,-2.072208893,case72,R1,kint
kdeg(R1),-4.044158374,-3.643190442,case72,R1,kdeg
krec4(R1),-3.591014232,-3.723607137,case72,R1,krec4
k4to11(R1),-1.797729702,-3.283162277,case72,R1,k4to11
krec11(R1),-1,-1,case72,R1,krec11
kint(R2),-1.985983771,-3.536644615,case72,R2,kint
kdeg(R2),-3.465567727,-3.626462769,case72,R2,kdeg
krec4(R2),-2.169449823,-4.700253067,case72,R2,krec4
k4to11(R2),-2.557551589,-4.709208817,case72,R2,k4to11
krec11(R2),-2.174703736,-1,case72,R2,krec11
kint(N1),-2.059682778,-3.66330017,case72,N1,kint
kdeg(N1),-4.756813076,-6,case72,N1,kdeg
krec4(N1),-1.485771113,-1.700667064,case72,N1,krec4
k4to11(N1),-1.908473727,-1.000199821,case72,N1,k4to11
krec11(N1),-1.285234488,-3.167938385,case72,N1,krec11
kint(R1),-1.500849245,-1.834755674,case73,R1,kint
kdeg(R1),-2.97203914,-3.63948232,case73,R1,kdeg
krec4(R1),-1.973998183,-3.153162068,case73,R1,krec4
k4to11(R1),-1.845576027,-3.15358247,case73,R1,k4to11
krec11(R1),-1.416461181,-1.017588549,case73,R1,krec11
kint(R2),-2.026276555,-3.539012002,case73,R2,kint
kdeg(R2),-3.522271158,-3.608094993,case73,R2,kdeg
krec4(R2),-3.483676206,-4.615413639,case73,R2,krec4
k4to11(R2),-3.957739593,-4.664261353,case73,R2,k4to11
krec11(R2),-2.432573655,-1.000021715,case73,R2,krec11
kint(N1),-1.637084201,-3.093896716,case73,N1,kint
kdeg(N1),-4.87422605,-5.998699067,case73,N1,kdeg
krec4(N1),-2.176180299,-1.004759798,case73,N1,krec4
k4to11(N1),-1.299668448,-1,case73,N1,k4to11
krec11(N1),-1.357159715,-2.855052366,case73,N1,krec11
kint(R1),-1.929481903,-1.921072166,case74,R1,kint
kdeg(R1),-4.484377802,-3.639236234,case74,R1,kdeg
krec4(R1),-3.320962963,-3.635261445,case74,R1,krec4
k4to11(R1),-1.795229064,-3.061350206,case74,R1,k4to11
krec11(R1),-1,-1,case74,R1,krec11
kint(R2),-2.86518563,-3.555799011,case74,R2,kint
kdeg(R2),-2.603417108,-3.616148743,case74,R2,kdeg
krec4(R2),-1.883491876,-5.07450742,case74,R2,krec4
k4to11(R2),-3.24930651,-4.562423824,case74,R2,k4to11
krec11(R2),-1.988344989,-1.551571965,case74,R2,krec11
kint(N1),-2.340616303,-3.504178247,case74,N1,kint
kdeg(N1),-5.941991767,-6,case74,N1,kdeg
krec4(N1),-2.682626237,-1.950704432,case74,N1,krec4
k4to11(N1),-2.181173901,-1.001884578,case74,N1,k4to11
krec11(N1),-2.648957794,-2.996884283,case74,N1,krec11
kint(R1),-1,-1.484961122,case75,R1,kint
kdeg(R1),-4.301438424,-3.635130201,case75,R1,kdeg
krec4(R1),-2.072547509,-2.642427216,case75,R1,krec4
k4to11(R1),-2.285636705,-2.941004906,case75,R1,k4to11
krec11(R1),-1,-1,case75,R1,krec11
kint(R2),-2.537123045,-3.610568102,case75,R2,kint
kdeg(R2),-4.042076803,-3.621002859,case75,R2,kdeg
krec4(R2),-3.011249354,-4.916461549,case75,R2,krec4
k4to11(R2),-3.510013412,-5.376771391,case75,R2,k4to11
krec11(R2),-1.243919475,-1.207524262,case75,R2,krec11
kint(N1),-2.526016977,-3.040772521,case75,N1,kint
kdeg(N1),-5.130891543,-5.559752304,case75,N1,kdeg
krec4(N1),-2.143863459,-1.035825256,case75,N1,krec4
k4to11(N1),-1.043879614,-1.858644308,case75,N1,k4to11
krec11(N1),-1.269993366,-3.4939823,case75,N1,krec11
kint(R1),-1,-1.454890898,case76,R1,kint
kdeg(R1),-4.280660425,-3.635373971,case76,R1,kdeg
krec4(R1),-3.193392728,-2.56514379,case76,R1,krec4
k4to11(R1),-2.803188457,-3.034723022,case76,R1,k4to11
krec11(R1),-1.49524378,-1.008428399,case76,R1,krec11
kint(R2),-3.150193763,-3.596673538,case76,R2,kint
kdeg(R2),-3.040305271,-3.614715545,case76,R2,kdeg
krec4(R2),-3.205867621,-4.86157098,case76,R2,krec4
k4to11(R2),-2.83082538,-5.131725957,case76,R2,k4to11
krec11(R2),-1.415838455,-1.002211839,case76,R2,krec11
kint(N1),-3.178860008,-3.012816553,case76,N1,kint
kdeg(N1),-5.056154431,-5.867708284,case76,N1,kdeg
krec4(N1),-1.214342788,-1.104820639,case76,N1,krec4
k4to11(N1),-1.435760156,-2.47298912,case76,N1,k4to11
krec11(N1),-1.485598365,-4.605968808,case76,N1,krec11
kint(R1),-1.080712659,-1.630672799,case77,R1,kint
kdeg(R1),-3.933189724,-3.635711724,case77,R1,kdeg
krec4(R1),-3.555377571,-2.854896867,case77,R1,krec4
k4to11(R1),-2.927529518,-2.994347685,case77,R1,k4to11
krec11(R1),-1,-1.000034745,case77,R1,krec11
kint(R2),-2.385503532,-3.642732345,case77,R2,kint
kdeg(R2),-3.014649882,-3.628691956,case77,R2,kdeg
krec4(R2),-2.892586503,-6,case77,R2,krec4
k4to11(R2),-3.197438344,-6,case77,R2,k4to11
krec11(R2),-2.501179622,-1.049352849,case77,R2,krec11
kint(N1),-1.926391612,-5.552935042,case77,N1,kint
kdeg(N1),-5.53844145,-6,case77,N1,kdeg
krec4(N1),-2.638026763,-2.816018781,case77,N1,krec4
k4to11(N1),-1.334222073,-3.224819327,case77,N1,k4to11
krec11(N1),-2.368272206,-3.888401475,case77,N1,krec11
kint(R1),-1,-1.145657515,case78,R1,kint
kdeg(R1),-2.872506455,-3.632681359,case78,R1,kdeg
krec4(R1),-1.601886308,-2.227377619,case78,R1,krec4
k4to11(R1),-1.903124732,-2.748532125,case78,R1,k4to11
krec11(R1),-1.604900863,-1,case78,R1,krec11
kint(R2),-2.943476276,-3.628895178,case78,R2,kint
kdeg(R2),-4.495773879,-3.630914079,case78,R2,kdeg
krec4(R2),-3.153700009,-5.508708359,case78,R2,krec4
k4to11(R2),-3.411795544,-5.438230984,case78,R2,k4to11
krec11(R2),-2.909036923,-1.000304113,case78,R2,krec11
kint(N1),-3.327837465,-3.870406772,case78,N1,kint
kdeg(N1),-5.518672052,-6,case78,N1,kdeg
krec4(N1),-2.00754369,-2.016743675,case78,N1,krec4
k4to11(N1),-2.460246629,-2.448342664,case78,N1,k4to11
krec11(N1),-1,-3.489884135,case78,N1,krec11
kint(R1),-2.330497166,-1.493183902,case79,R1,kint
kdeg(R1),-3.108724648,-3.632867808,case79,R1,kdeg
krec4(R1),-2.004584201,-2.640980772,case79,R1,krec4
k4to11(R1),-3.277876344,-2.963530801,case79,R1,k4to11
krec11(R1),-1.977901703,-1.138435721,case79,R1,krec11
kint(R2),-2.261544491,-3.595063706,case79,R2,kint
kdeg(R2),-3.539553216,-3.609170831,case79,R2,kdeg
krec4(R2),-2.410273744,-4.985563472,case79,R2,krec4
k4to11(R2),-3.85405813,-4.887763769,case79,R2,k4to11
krec11(R2),-2.368982617,-1.000034745,case79,R2,krec11
kint(N1),-3.460986665,-3.902569146,case79,N1,kint
kdeg(N1),-6,-3.946959991,case79,N1,kdeg
krec4(N1),-1.279443809,-1.599427476,case79,N1,krec4
k4to11(N1),-2.659397268,-2.146989661,case79,N1,k4to11
krec11(N1),-1.60055127,-3.83088422,case79,N1,krec11
kint(R1),-1.832800857,-2.013290952,case80,R1,kint
kdeg(R1),-4.20980635,-3.641284886,case80,R1,kdeg
krec4(R1),-2.486529357,-3.57227052,case80,R1,krec4
k4to11(R1),-2.068008489,-3.197643671,case80,R1,k4to11
krec11(R1),-1,-1.000017372,case80,R1,krec11
kint(R2),-3.365029265,-3.598582226,case80,R2,kint
kdeg(R2),-3.613554544,-3.622402374,case80,R2,kdeg
krec4(R2),-2.581582691,-5.883159898,case80,R2,krec4
k4to11(R2),-2.1692061,-4.735182177,case80,R2,k4to11
krec11(R2),-2.340768567,-1.005559661,case80,R2,krec11
kint(N1),-1.905458999,-3.418448542,case80,N1,kint
kdeg(N1),-4.557410495,-4.064986761,case80,N1,kdeg
krec4(N1),-1.923068425,-1.655057837,case80,N1,krec4
k4to11(N1),-1.45459391,-1.020574556,case80,N1,k4to11
krec11(N1),-1.849765641,-2.909847799,case80,N1,krec11
kint(R1),-1.778038348,-1.583392773,case81,R1,kint
kdeg(R1),-2.970169981,-3.63432486,case81,R1,kdeg
krec4(R1),-2.502324118,-2.771086594,case81,R1,krec4
k4to11(R1),-2.757210191,-2.989700043,case81,R1,k4to11
krec11(R1),-1.228588918,-1.043543417,case81,R1,krec11
kint(R2),-2.704542862,-3.596827985,case81,R2,kint
kdeg(R2),-4.078037952,-3.625196683,case81,R2,kdeg
krec4(R2),-3.576852468,-5.025884557,case81,R2,krec4
k4to11(R2),-4.029216259,-5.153124993,case81,R2,k4to11
krec11(R2),-2.522849793,-1.000991322,case81,R2,krec11
kint(N1),-3.538966931,-3.239585056,case81,N1,kint
kdeg(N1),-5.316052869,-5.360174973,case81,N1,kdeg
krec4(N1),-1,-1.000838998,case81,N1,krec4
k4to11(N1),-1.423393776,-1.67592342,case81,N1,k4to11
krec11(N1),-2.621965678,-3.583875628,case81,N1,krec11
kint(R1),-1.801782928,-1.83176777,case82,R1,kint
kdeg(R1),-4.292412793,-3.638574387,case82,R1,kdeg
krec4(R1),-2.070591293,-3.18164872,case82,R1,krec4
k4to11(R1),-2.104328883,-3.128100299,case82,R1,k4to11
krec11(R1),-1.53613686,-1.000082524,case82,R1,krec11
kint(R2),-1.855955363,-3.615646586,case82,R2,kint
kdeg(R2),-3.455981592,-3.626315787,case82,R2,kdeg
krec4(R2),-1.707278862,-5.396282001,case82,R2,krec4
k4to11(R2),-2.879064307,-5.188478614,case82,R2,k4to11
krec11(R2),-2.684659523,-1.002530609,case82,R2,krec11
kint(N1),-3.58399226,-3.351064564,case82,N1,kint
kdeg(N1),-5.500697906,-5.262743729,case82,N1,kdeg
krec4(N1),-1.077227846,-1.227157745,case82,N1,krec4
k4to11(N1),-2.171288558,-1.000004343,case82,N1,k4to11
krec11(N1),-2.350801488,-3.215218719,case82,N1,krec11
kint(R1),-1.031082974,-1.007437646,case83,R1,kint
kdeg(R1),-3.745862969,-3.635430245,case83,R1,kdeg
krec4(R1),-3.404978013,-1.973425882,case83,R1,krec4
k4to11(R1),-2.88153686,-3.439627028,case83,R1,k4to11
krec11(R1),-2.214129414,-1.0198875,case83,R1,krec11
kint(R2),-2.901633204,-3.643152249,case83,R2,kint
kdeg(R2),-3.492778499,-3.631322705,case83,R2,kdeg
krec4(R2),-2.668410759,-6,case83,R2,krec4
k4to11(R2),-2.581350749,-6,case83,R2,k4to11
krec11(R2),-2.603992552,-1.371549762,case83,R2,krec11
kint(N1),-2.580242454,-4.341912251,case83,N1,kint
kdeg(N1),-5.975022028,-6,case83,N1,kdeg
krec4(N1),-2.3334633,-2.594329278,case83,N1,krec4
k4to11(N1),-1.892416969,-3.913675769,case83,N1,k4to11
krec11(N1),-2.388128059,-3.928412529,case83,N1,krec11
kint(R1),-1.780389281,-1.41553308,case84,R1,kint
kdeg(R1),-3.345457688,-3.636087314,case84,R1,kdeg
krec4(R1),-2.855363532,-2.460961558,case84,R1,krec4
k4to11(R1),-3.519748655,-3.179640883,case84,R1,k4to11
krec11(R1),-1.152797636,-1,case84,R1,krec11
kint(R2),-1.841336019,-3.640790808,case84,R2,kint
kdeg(R2),-3.020834191,-3.632681359,case84,R2,kdeg
krec4(R2),-3.319202331,-5.994776575,case84,R2,krec4
k4to11(R2),-2.79128998,-5.9996961,case84,R2,k4to11
krec11(R2),-2.805374671,-1.012190781,case84,R2,krec11
kint(N1),-2.476630779,-4.966455624,case84,N1,kint
kdeg(N1),-4.619336604,-6,case84,N1,kdeg
krec4(N1),-2.512734326,-3.054309893,case84,N1,krec4
k4to11(N1),-2.206069993,-3.775544636,case84,N1,k4to11
krec11(N1),-1.881206372,-2.970900433,case84,N1,krec11
kint(R1),-1,-1.70333481,case85,R1,kint
kdeg(R1),-2.726582005,-3.636312824,case85,R1,kdeg
krec4(R1),-1.909953678,-3.280909133,case85,R1,krec4
k4to11(R1),-1.825126471,-2.836600067,case85,R1,k4to11
krec11(R1),-1.847834009,-1.036727022,case85,R1,krec11
kint(R2),-3.268733651,-3.537572052,case85,R2,kint
kdeg(R2),-4.044321869,-3.624244965,case85,R2,kdeg
krec4(R2),-2.954598777,-4.739570824,case85,R2,krec4
k4to11(R2),-3.769091481,-4.777231521,case85,R2,k4to11
krec11(R2),-1.710255015,-1,case85,R2,krec11
kint(N1),-2.77314243,-3.214186303,case85,N1,kint
kdeg(N1),-4.625361616,-5.78214772,case85,N1,kdeg
krec4(N1),-2.341940881,-1.635636645,case85,N1,krec4
k4to11(N1),-1.308441135,-1.020560896,case85,N1,k4to11
krec11(N1),-2.199145508,-2.721200686,case85,N1,krec11
kint(R1),-2.354322338,-1.511251922,case86,R1,kint
kdeg(R1),-4.460284227,-3.637366755,case86,R1,kdeg
krec4(R1),-2.625911843,-2.562423824,case86,R1,krec4
k4to11(R1),-2.452890163,-3.303320414,case86,R1,k4to11
krec11(R1),-1.16594189,-1,case86,R1,krec11
kint(R2),-2.808968391,-3.64299951,case86,R2,kint
kdeg(R2),-2.52170773,-3.63126696,case86,R2,kdeg
krec4(R2),-2.423866055,-6,case86,R2,krec4
k4to11(R2),-3.358337538,-6,case86,R2,k4to11
krec11(R2),-1.822550079,-1.733180545,case86,R2,krec11
kint(N1),-2.10965724,-5.229619343,case86,N1,kint
kdeg(N1),-4.919589993,-6,case86,N1,kdeg
krec4(N1),-2.182361924,-3.009541265,case86,N1,krec4
k4to11(N1),-2.579532647,-3.796396048,case86,N1,k4to11
krec11(N1),-1.939679971,-1.801837961,case86,N1,krec11
kint(R1),-1,-2.251842995,case87,R1,kint
kdeg(R1),-3.561853364,-3.643725499,case87,R1,kdeg
krec4(R1),-3.370722952,-3.957857817,case87,R1,krec4
k4to11(R1),-2.673275087,-3.554411363,case87,R1,k4to11
krec11(R1),-1.326389369,-1.070187833,case87,R1,krec11
kint(R2),-1.705599915,-3.622020241,case87,R2,kint
kdeg(R2),-4.471970783,-3.620893995,case87,R2,kdeg
krec4(R2),-2.517583809,-5.383073097,case87,R2,krec4
k4to11(R2),-2.339400111,-5.94435414,case87,R2,k4to11
krec11(R2),-1.871697683,-1.007742593,case87,R2,krec11
kint(N1),-3.368322911,-4.190231605,case87,N1,kint
kdeg(N1),-5.534290064,-4.792123378,case87,N1,kdeg
krec4(N1),-2.071768063,-1.335076107,case87,N1,krec4
k4to11(N1),-1.922087297,-2.179194496,case87,N1,k4to11
krec11(N1),-2.534513049,-4.274415028,case87,N1,krec11
kint(R1),-1.627272059,-1.366571946,case88,R1,kint
kdeg(R1),-4.346903314,-3.634905305,case88,R1,kdeg
krec4(R1),-3.110065529,-2.409704441,case88,R1,krec4
k4to11(R1),-3.506862734,-3.124325367,case88,R1,k4to11
krec11(R1),-1.697928946,-1,case88,R1,krec11
kint(R2),-1.960268704,-3.640316263,case88,R2,kint
kdeg(R2),-3.268911082,-3.633464981,case88,R2,kdeg
krec4(R2),-2.238538264,-6,case88,R2,krec4
k4to11(R2),-4.10185097,-5.999956573,case88,R2,k4to11
krec11(R2),-1.567704308,-1,case88,R2,krec11
kint(N1),-2.593971055,-4.895615329,case88,N1,kint
kdeg(N1),-5.796233025,-6,case88,N1,kdeg
krec4(N1),-2.362410214,-3.053130345,case88,N1,krec4
k4to11(N1),-2.342236843,-3.842996803,case88,N1,k4to11
krec11(N1),-1,-3.10959575,case88,N1,krec11
kint(R1),-1,-1.010381125,case89,R1,kint
kdeg(R1),-2.646487683,-3.635430245,case89,R1,kdeg
krec4(R1),-2.551494646,-1.972242795,case89,R1,krec4
k4to11(R1),-1.761677844,-3.670134514,case89,R1,k4to11
krec11(R1),-1,-1.30400203,case89,R1,krec11
kint(R2),-2.40763446,-3.64299951,case89,R2,kint
kdeg(R2),-3.753452182,-3.631527162,case89,R2,kdeg
krec4(R2),-2.1626515,-6,case89,R2,krec4
k4to11(R2),-3.207328211,-6,case89,R2,k4to11
krec11(R2),-1.714037838,-1.408590322,case89,R2,krec11
kint(N1),-1.619517409,-4.318948808,case89,N1,kint
kdeg(N1),-4.710232729,-6,case89,N1,kdeg
krec4(N1),-2.043644248,-2.627806281,case89,N1,krec4
k4to11(N1),-2.534200901,-3.983509868,case89,N1,k4to11
krec11(N1),-2.310043291,-3.767664723,case89,N1,krec11
kint(R1),-1.905703603,-1.245238975,case90,R1,kint
kdeg(R1),-2.71867114,-3.635599111,case90,R1,kdeg
krec4(R1),-3.164157294,-2.254480207,case90,R1,krec4
k4to11(R1),-2.670419084,-3.195431258,case90,R1,k4to11
krec11(R1),-1,-1,case90,R1,krec11
kint(R2),-2.010523485,-3.64320954,case90,R2,kint
kdeg(R2),-3.087777943,-3.631378456,case90,R2,kdeg
krec4(R2),-2.702480223,-6,case90,R2,krec4
k4to11(R2),-2.610267044,-6,case90,R2,k4to11
krec11(R2),-1.084547398,-1.599134039,case90,R2,krec11
kint(N1),-2.717627163,-4.704696855,case90,N1,kint
kdeg(N1),-5.202130267,-6,case90,N1,kdeg
krec4(N1),-2.580126825,-2.869666232,case90,N1,krec4
k4to11(N1),-1.930664965,-4.10405286,case90,N1,k4to11
krec11(N1),-1.745379426,-1,case90,N1,krec11
