parameter,value,case
kdeg(R2),-3.631359871,case16
krec4(R2),-6,case16
k4to11(R2),-6,case16
krec11(R2),-1.029388164,case16
kint(N1),-3.541573685,case16
kdeg(N1),-4.819186224,case16
krec4(N1),-1.956205608,case16
k4to11(N1),-1.022655997,case16
krec11(N1),-2.943590679,case16
kprod(R1),0.571697188,case16
kprod(R2),0.043362278,case16
kprod(N1),-0.382947211,case16
kint(R1),-1.889073758,case17
kdeg(R1),-3.638801192,case17
krec4(R1),-3.611419278,case17
k4to11(R1),-3.016563166,case17
krec11(R1),-1.018684361,case17
kint(R2),-3.64305678,case17
kdeg(R2),-3.631527162,case17
krec4(R2),-6,case17
k4to11(R2),-6,case17
krec11(R2),-1.418220954,case17
kint(N1),-3.512465706,case17
kdeg(N1),-5.891299703,case17
krec4(N1),-1.881900688,case17
k4to11(N1),-1.03118562,case17
krec11(N1),-2.930442895,case17
kprod(R1),0.569958818,case17
kprod(R2),0.043440876,case17
kprod(N1),-0.366026844,case17
kint(R1),-2.156206802,case18
kdeg(R1),-3.641760492,case18
krec4(R1),-3.687484144,case18
k4to11(R1),-3.44721015,case18
krec11(R1),-1.003488328,case18
kint(R2),-3.64320954,case18
kdeg(R2),-3.631378456,case18
krec4(R2),-6,case18
k4to11(R2),-6,case18
krec11(R2),-1.000278037,case18
kint(N1),-3.288732812,case18
kdeg(N1),-6,case18
krec4(N1),-1.011169137,case18
k4to11(N1),-1.019642061,case18
krec11(N1),-3.077949598,case18
kprod(R1),0.559331971,case18
kprod(R2),0.043283666,case18
kprod(N1),-0.576066355,case18
kint(R1),-1.930110003,case19
kdeg(R1),-3.640335235,case19
krec4(R1),-3.609294459,case19
k4to11(R1),-3.083314489,case19
krec11(R1),-1.049922498,case19
kint(R2),-3.628156645,case19
kdeg(R2),-3.64115181,case19
krec4(R2),-5.999088938,case19
k4to11(R2),-5.992124256,case19
krec11(R2),-1.259984885,case19
kint(N1),-3.529236806,case19
kdeg(N1),-5.10210362,case19
krec4(N1),-1.8188713,case19
k4to11(N1),-1.000008686,case19
krec11(N1),-2.960030973,case19
kprod(R1),0.570811372,case19
kprod(R2),0.058198188,case19
kprod(N1),-0.400367975,case19
kint(R1),-1.995979727,case20
kdeg(R1),-3.641513112,case20
krec4(R1),-3.662860337,case20
k4to11(R1),-3.169033012,case20
krec11(R1),-1,case20
kint(R2),-3.62345954,case20
kdeg(R2),-3.637442133,case20
krec4(R2),-5.698514234,case20
k4to11(R2),-5.558603397,case20
krec11(R2),-1.074394008,case20
kint(N1),-3.60018788,case20
kdeg(N1),-5.702655385,case20
krec4(N1),-1.779970406,case20
k4to11(N1),-1.04416799,case20
krec11(N1),-3.031582434,case20
kprod(R1),0.567320504,case20
kprod(R2),0.057856209,case20
kprod(N1),-0.452557602,case20
kint(R1),-2.01310292,case21
kdeg(R1),-3.641589214,case21
krec4(R1),-3.676088191,case21
k4to11(R1),-3.192120109,case21
krec11(R1),-1.000004343,case21
kint(R2),-3.632569528,case21
kdeg(R2),-3.62723524,case21
krec4(R2),-5.330822637,case21
k4to11(R2),-5.7121535,case21
krec11(R2),-2.007671861,case21
kint(N1),-3.568507575,case21
kdeg(N1),-5.987289287,case21
krec4(N1),-1.77389008,case21
k4to11(N1),-1,case21
krec11(N1),-3.014425343,case21
kprod(R1),0.566543548,case21
kprod(R2),0.045635871,case21
kprod(N1),-0.468802188,case21
kint(R1),-2.215332791,case22
kdeg(R1),-3.647238808,case22
krec4(R1),-3.672069195,case22
k4to11(R1),-3.623806413,case22
krec11(R1),-1.003212603,case22
kint(R2),-3.64320954,case22
kdeg(R2),-3.631378456,case22
krec4(R2),-6,case22
k4to11(R2),-6,case22
krec11(R2),-1.104124609,case22
kint(N1),-4.55918534,case22
kdeg(N1),-5.455969182,case22
krec4(N1),-1.438040421,case22
k4to11(N1),-1.984221244,case22
krec11(N1),-4.24930651,case22
kprod(R1),0.766747363,case22
kprod(R2),0.043244354,case22
kprod(N1),-0.377682339,case22
kint(R1),-1.940360862,case23
kdeg(R1),-3.640335235,case23
krec4(R1),-3.609771638,case23
k4to11(R1),-3.097110921,case23
krec11(R1),-1.000004343,case23
kint(R2),-3.622129387,case23
kdeg(R2),-3.641379966,case23
krec4(R2),-5.946537395,case23
k4to11(R2),-5.604359141,case23
krec11(R2),-1.00764092,case23
kint(N1),-3.463391061,case23
kdeg(N1),-6,case23
krec4(N1),-1.690625375,case23
k4to11(N1),-1.014470242,case23
krec11(N1),-2.942714356,case23
kprod(R1),0.56937391,case23
kprod(R2),0.061226225,case23
kprod(N1),-0.404834585,case23
kint(R1),-1.909565584,case24
kdeg(R1),-3.641589214,case24
krec4(R1),-3.114791488,case24
k4to11(R1),-3.416744533,case24
krec11(R1),-1.000199821,case24
kint(R2),-3.63148998,case24
kdeg(R2),-3.634306148,case24
krec4(R2),-5.93711731,case24
k4to11(R2),-5.48160452,case24
krec11(R2),-1.147263897,case24
kint(N1),-3.619228157,case24
kdeg(N1),-5.696350439,case24
krec4(N1),-1.278667619,case24
k4to11(N1),-2.439149243,case24
krec11(N1),-4.926538271,case24
kprod(R1),0.564642396,case24
kprod(R2),0.050457095,case24
kprod(N1),-0.344179912,case24
kint(R1),-1.886959582,case25
kdeg(R1),-3.641113796,case25
krec4(R1),-3.107343405,case25
k4to11(R1),-3.355079129,case25
krec11(R1),-1.005586055,case25
kint(R2),-3.641665329,case25
kdeg(R2),-3.631081198,case25
krec4(R2),-5.999782907,case25
k4to11(R2),-5.859554812,case25
krec11(R2),-1.026211966,case25
kint(N1),-3.378750996,case25
kdeg(N1),-5.448940555,case25
krec4(N1),-1.000004343,case25
k4to11(N1),-1.880117542,case25
krec11(N1),-3.825562204,case25
kprod(R1),0.565540872,case25
kprod(R2),0.044108387,case25
kprod(N1),-0.36624884,case25
kint(R1),-2.073107315,case26
kdeg(R1),-3.644184645,case26
krec4(R1),-3.497449984,case26
k4to11(R1),-3.390053603,case26
krec11(R1),-1.000199821,case26
kint(R2),-3.618271381,case26
kdeg(R2),-3.631694516,case26
krec4(R2),-5.546834607,case26
k4to11(R2),-5.224193017,case26
krec11(R2),-1.003427041,case26
kint(N1),-3.331018037,case26
kdeg(N1),-5.614572485,case26
krec4(N1),-1,case26
k4to11(N1),-1.04404781,case26
krec11(N1),-3.126307471,case26
kprod(R1),0.559200173,case26
kprod(R2),0.055836851,case26
kprod(N1),-0.526177403,case26
kint(R1),-1.882994003,case27
kdeg(R1),-3.640164518,case27
krec4(R1),-3.150052628,case27
k4to11(R1),-3.274987275,case27
krec11(R1),-1,case27
kint(R2),-3.643324144,case27
kdeg(R2),-3.631397041,case27
krec4(R2),-6,case27
k4to11(R2),-5.999869731,case27
krec11(R2),-1.064155305,case27
kint(N1),-5.183573087,case27
kdeg(N1),-6,case27
krec4(N1),-2.219906014,case27
k4to11(N1),-2.447173666,case27
krec11(N1),-3.878013621,case27
kprod(R1),0.56543457,case27
kprod(R2),0.04316572,case27
kprod(N1),-0.177956209,case27
kint(R1),-1.750043818,case28
kdeg(R1),-3.639899091,case28
krec4(R1),-2.852292766,case28
k4to11(R1),-3.448830676,case28
krec11(R1),-1,case28
kint(R2),-3.643247738,case28
kdeg(R2),-3.631397041,case28
krec4(R2),-6,case28
k4to11(R2),-6,case28
krec11(R2),-1.099616483,case28
kint(N1),-4.435061847,case28
kdeg(N1),-6,case28
krec4(N1),-1.907068924,case28
k4to11(N1),-2.858769781,case28
krec11(N1),-4.593647203,case28
kprod(R1),0.566461062,case28
kprod(R2),0.043244354,case28
kprod(N1),-0.14443239,case28
kint(R1),-1.803298888,case29
kdeg(R1),-3.636200055,case29
krec4(R1),-3.501772177,case29
k4to11(R1),-2.923359556,case29
krec11(R1),-1.087129909,case29
kint(R2),-3.642541614,case29
kdeg(R2),-3.630431653,case29
krec4(R2),-5.97786043,case29
k4to11(R2),-5.893333238,case29
krec11(R2),-1.522198883,case29
kint(N1),-3.514761391,case29
kdeg(N1),-4.444276945,case29
krec4(N1),-1.94573176,case29
k4to11(N1),-1.045010182,case29
krec11(N1),-2.90868484,case29
kprod(R1),0.575441879,case29
kprod(R2),0.043362278,case29
kprod(N1),-0.290204454,case29
kint(R1),-1.85754796,case30
kdeg(R1),-3.63682065,case30
krec4(R1),-3.659833605,case30
k4to11(R1),-2.963211467,case30
krec11(R1),-1.020597325,case30
kint(R2),-3.621148054,case30
kdeg(R2),-3.637800361,case30
krec4(R2),-5.501634301,case30
k4to11(R2),-5.692846398,case30
krec11(R2),-1.281614581,case30
kint(N1),-3.505706231,case30
kdeg(N1),-5.855425792,case30
krec4(N1),-2.120313606,case30
k4to11(N1),-1.000026058,case30
krec11(N1),-2.905109803,case30
kprod(R1),0.574505837,case30
kprod(R2),0.059374059,case30
kprod(N1),-0.340920884,case30
kint(R1),-1.964610291,case31
kdeg(R1),-3.642065153,case31
krec4(R1),-3.282837303,case31
k4to11(R1),-3.326628848,case31
krec11(R1),-1.000008686,case31
kint(R2),-3.636463229,case31
kdeg(R2),-3.627972207,case31
krec4(R2),-5.526440045,case31
k4to11(R2),-5.663920691,case31
krec11(R2),-1.107855289,case31
kint(N1),-3.350791748,case31
kdeg(N1),-5.914245756,case31
krec4(N1),-1.000204166,case31
k4to11(N1),-1.548566668,case31
krec11(N1),-3.515842576,case31
kprod(R1),0.561971487,case31
kprod(R2),0.044343735,case31
kprod(N1),-0.422152179,case31
kint(R1),-1.783016441,case32
kdeg(R1),-3.639501256,case32
krec4(R1),-2.94161194,case32
k4to11(R1),-3.321845962,case32
krec11(R1),-1,case32
kint(R2),-3.643114059,case32
kdeg(R2),-3.631322705,case32
krec4(R2),-6,case32
k4to11(R2),-6,case32
krec11(R2),-1.068613331,case32
kint(N1),-4.920456993,case32
kdeg(N1),-6,case32
krec4(N1),-2.148332017,case32
k4to11(N1),-2.57601727,case32
krec11(N1),-3.89537634,case32
kprod(R1),0.565623533,case32
kprod(R2),0.043362278,case32
kprod(N1),-0.122053048,case32
kint(R1),-1.929223537,case33
kdeg(R1),-3.641779527,case33
krec4(R1),-3.464553967,case33
k4to11(R1),-3.124227077,case33
krec11(R1),-1.000008686,case33
kint(R2),-3.624409537,case33
kdeg(R2),-3.629098495,case33
