parameter,value,case
kint(N1),-4.599669278,case93
kdeg(N1),-6,case93
krec4(N1),-2.874941849,case93
k4to11(N1),-4.072840162,case93
krec11(N1),-1.101154198,case93
kprod(R1),0.56497363,case93
kprod(R2),0.049760552,case93
kprod(N1),0.312832959,case93
kint(R1),-1.000973911,case94
kdeg(R1),-3.638158885,case94
krec4(R1),-1.959279016,case94
k4to11(R1),-5.988091387,case94
krec11(R1),-1.05387702,case94
kint(R2),-3.643228638,case94
kdeg(R2),-3.631359871,case94
krec4(R2),-6,case94
k4to11(R2),-6,case94
krec11(R2),-1.022889411,case94
kint(N1),-4.410787874,case94
kdeg(N1),-6,case94
krec4(N1),-2.735914486,case94
k4to11(N1),-4.281323964,case94
krec11(N1),-1.024090501,case94
kprod(R1),0.566390348,case94
kprod(R2),0.043244354,case94
kprod(N1),0.310438395,case94
kint(R1),-1.279857241,case95
kdeg(R1),-3.633689133,case95
krec4(R1),-2.333556904,case95
k4to11(R1),-2.940171618,case95
krec11(R1),-1,case95
kint(R2),-3.64320954,case95
kdeg(R2),-3.631341288,case95
krec4(R2),-5.998006826,case95
k4to11(R2),-5.998093296,case95
krec11(R2),-1.452582227,case95
kint(N1),-4.687695675,case95
kdeg(N1),-6,case95
krec4(N1),-3.156181911,case95
k4to11(N1),-3.700296627,case95
krec11(N1),-1.000073836,case95
kprod(R1),0.562185765,case95
kprod(R2),0.043283666,case95
kprod(N1),0.333386812,case95
kint(R1),-1,case96
kdeg(R1),-3.636500839,case96
krec4(R1),-1.956559124,case96
k4to11(R1),-3.913319906,case96
krec11(R1),-1.240392583,case96
kint(R2),-3.639842235,case96
kdeg(R2),-3.633689133,case96
krec4(R2),-5.995077051,case96
k4to11(R2),-5.943095149,case96
krec11(R2),-1.749531203,case96
kint(N1),-4.400695645,case96
kdeg(N1),-6,case96
krec4(N1),-2.84067348,case96
k4to11(N1),-4.021413236,case96
krec11(N1),-3.184681312,case96
kprod(R1),0.561661787,case96
kprod(R2),0.046339056,case96
kprod(N1),0.323973605,case96
kint(R1),-1.000026058,case97
kdeg(R1),-3.636463229,case97
krec4(R1),-1.967824623,case97
k4to11(R1),-3.440117304,case97
krec11(R1),-1.001178536,case97
kint(R2),-3.640430106,case97
kdeg(R2),-3.631731715,case97
krec4(R2),-6,case97
k4to11(R2),-6,case97
krec11(R2),-1.259708383,case97
kint(N1),-4.351054818,case97
kdeg(N1),-6,case97
krec4(N1),-2.806541457,case97
k4to11(N1),-3.966335037,case97
krec11(N1),-1.286786755,case97
kprod(R1),0.563279317,case97
kprod(R2),0.04606573,case97
kprod(N1),0.319210194,case97
kint(R1),-1.896093702,case98
kdeg(R1),-3.640657883,case98
krec4(R1),-3.160276906,case98
k4to11(R1),-3.264472956,case98
krec11(R1),-1.000221547,case98
kint(R2),-3.643381458,case98
kdeg(R2),-3.631582939,case98
krec4(R2),-6,case98
k4to11(R2),-6,case98
krec11(R2),-1.012512494,case98
kint(N1),-5.62178385,case98
kdeg(N1),-6,case98
krec4(N1),-3.750165958,case98
k4to11(N1),-3.834844739,case98
krec11(N1),-2.396076546,case98
kprod(R1),0.553057325,case98
kprod(R2),0.043126398,case98
kprod(N1),0.313825054,case98
kint(R1),-2.057709127,case99
kdeg(R1),-3.643324144,case99
krec4(R1),-3.642541614,case99
k4to11(R1),-3.287266141,case99
krec11(R1),-1,case99
kint(R2),-3.505747979,case99
kdeg(R2),-3.62345954,case99
krec4(R2),-4.595748012,case99
k4to11(R2),-4.60623182,case99
krec11(R2),-1.000191132,case99
kint(N1),-3.565127834,case99
kdeg(N1),-5.956559124,case99
krec4(N1),-1.636181262,case99
k4to11(N1),-1,case99
krec11(N1),-3.211209633,case99
kprod(R1),0.5669322,case99
kprod(R2),0.101437735,case99
kprod(N1),-0.503693195,case99
kint(R1),-1.010817249,case100
kdeg(R1),-3.637668348,case100
krec4(R1),-1.969278871,case100
k4to11(R1),-3.960982678,case100
krec11(R1),-1,case100
kint(R2),-3.64320954,case100
kdeg(R2),-3.631378456,case100
krec4(R2),-6,case100
k4to11(R2),-6,case100
krec11(R2),-1.40613821,case100
kint(N1),-4.382936722,case100
kdeg(N1),-6,case100
krec4(N1),-2.912076679,case100
k4to11(N1),-4.001283062,case100
krec11(N1),-1,case100
kprod(R1),0.562530769,case100
kprod(R2),0.043283666,case100
kprod(N1),0.336679827,case100
